课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
10L450Q,04,铁道信号基础,电信,80,34,46,32,2,1,2,2,主校区第九教学楼东102,1-8周,8,李绍斌,,,自动化0901 自动化0902 自动化0903 自动化0904 自动化0905 自动化0906 *
10L450Q,05,铁道信号基础,电信,80,28,52,32,2,5,2,2,主校区逸夫教学楼YF611,1-8周,6067,王海峰,,,自动化0901 自动化0902 自动化0903 自动化0904 自动化0905 自动化0906 *
10L450Q,05,铁道信号基础,电信,80,28,52,32,2,1,2,2,主校区逸夫教学楼YF611,1-8周,6067,王海峰,,,自动化0901 自动化0902 自动化0903 自动化0904 自动化0905 自动化0906 *
10L459Q,01,现代铁路信号中通信技术,电信,70,44,26,32,2,5,6,2,主校区思源东楼SD203,1-8周,5672,马连川,,,自动化0905 自动化0906
10L459Q,01,现代铁路信号中通信技术,电信,70,44,26,32,2,3,1,2,主校区思源东楼SD203,1-8周,5672,马连川,,,自动化0905 自动化0906
10L463Q,01,铁路信号可靠性与安全性,电信,60,26,34,32,2,4,2,2,主校区思源东楼SD103,1-8周,149,赵林海,,,自动化0805 自动化0806
10L463Q,01,铁路信号可靠性与安全性,电信,60,26,34,32,2,1,2,2,主校区思源东楼SD103,1-8周,149,赵林海,,,自动化0805 自动化0806
10L464Q,01,铁路行车调度指挥自动化,电信,60,4,56,32,2,5,2,2,主校区思源东楼SD104,9-16周,8092,王剑,,,自动化0805 自动化0806
10L464Q,01,铁路行车调度指挥自动化,电信,60,4,56,32,2,2,2,2,主校区思源东楼SD104,9-16周,8092,王剑,,,自动化0805 自动化0806
10L468Q,01,铁道信号新技术学术讲座,电信,60,33,27,16,1,6,1,2,主校区不要教室,18周上,6060,徐洪泽,,,自动化0805 自动化0806
